filename,New_filename,width,height,class,widthScaled,heightScaled,xmin,ymin,xmax,ymax,id,xmin_scaled,ymin_scaled,xmax_scaled,ymax_scaled,xmin_new,ymin_new,xmax_new,ymax_new,xmin_new_scaled,ymin_new_scaled,xmax_new_scaled,ymax_new_scaled
IMG_6032_285.jpg,IMG_6032_285_reSized.jpg,600,337,car,150,84,104,128,188,159,3,0.17333333333333334,0.3798219584569733,0.3133333333333333,0.4718100890207715,26,31,47,39,0.17333333333333334,0.36904761904761907,0.31333333333333335,0.4642857142857143
IMG_6032_285.jpg,IMG_6032_285_reSized.jpg,600,337,car,150,84,185,131,238,155,3,0.3083333333333333,0.3887240356083086,0.39666666666666667,0.4599406528189911,46,32,59,38,0.30666666666666664,0.38095238095238093,0.3933333333333333,0.4523809523809524
IMG_6032_285.jpg,IMG_6032_285_reSized.jpg,600,337,truck,150,84,297,118,420,158,8,0.495,0.35014836795252224,0.7,0.4688427299703264,74,29,105,39,0.49333333333333335,0.34523809523809523,0.7,0.4642857142857143
IMG_6032_285.jpg,IMG_6032_285_reSized.jpg,600,337,car,150,84,465,117,554,147,3,0.775,0.34718100890207715,0.9233333333333332,0.4362017804154303,116,29,138,36,0.7733333333333333,0.34523809523809523,0.92,0.42857142857142855
IMG_6032_285.jpg,IMG_6032_285_reSized.jpg,600,337,car,150,84,558,115,598,146,3,0.93,0.34124629080118696,0.9966666666666668,0.4332344213649852,139,28,149,36,0.9266666666666666,0.3333333333333333,0.9933333333333333,0.42857142857142855
IMG_5882_76.jpg,IMG_5882_76_reSized.jpg,600,450,car,150,112,53,178,109,205,3,0.08833333333333332,0.3955555555555556,0.18166666666666667,0.4555555555555556,13,44,27,51,0.08666666666666667,0.39285714285714285,0.18,0.45535714285714285
IMG_5882_76.jpg,IMG_5882_76_reSized.jpg,600,450,car,150,112,113,174,193,207,3,0.18833333333333327,0.38666666666666666,0.32166666666666666,0.46,28,43,48,51,0.18666666666666668,0.38392857142857145,0.32,0.45535714285714285
IMG_5882_76.jpg,IMG_5882_76_reSized.jpg,600,450,truck,150,112,180,164,316,210,8,0.3,0.3644444444444445,0.5266666666666666,0.4666666666666667,45,40,79,52,0.3,0.35714285714285715,0.5266666666666666,0.4642857142857143
IMG_5882_76.jpg,IMG_5882_76_reSized.jpg,600,450,car,150,112,331,170,358,195,3,0.5516666666666666,0.37777777777777777,0.5966666666666667,0.43333333333333335,82,42,89,48,0.5466666666666666,0.375,0.5933333333333334,0.42857142857142855
IMG_5882_76.jpg,IMG_5882_76_reSized.jpg,600,450,traffic light,150,112,254,99,268,112,10,0.4233333333333333,0.22,0.44666666666666666,0.2488888888888889,63,24,67,27,0.42,0.21428571428571427,0.44666666666666666,0.24107142857142858
