filename,width,height,class,xmin,ymin,xmax,ymax,id,xmin_scaled,ymin_scaled,xmax_scaled,ymax_scaled
IMG_6032_285.jpg,600,337,car,104,128,188,159,3,0.17333333333333334,0.3798219584569733,0.31333333333333335,0.47181008902077154
IMG_6032_285.jpg,600,337,car,185,131,238,155,3,0.30833333333333335,0.3887240356083086,0.39666666666666667,0.4599406528189911
IMG_6032_285.jpg,600,337,truck,297,118,420,158,8,0.495,0.35014836795252224,0.7,0.4688427299703264
IMG_6032_285.jpg,600,337,car,465,117,554,147,3,0.775,0.34718100890207715,0.9233333333333333,0.4362017804154303
IMG_6032_285.jpg,600,337,car,558,115,598,146,3,0.93,0.34124629080118696,0.9966666666666667,0.4332344213649852
IMG_5882_76.jpg,600,450,car,53,178,109,205,3,0.08833333333333333,0.39555555555555555,0.18166666666666667,0.45555555555555555
IMG_5882_76.jpg,600,450,car,113,174,193,207,3,0.18833333333333332,0.38666666666666666,0.32166666666666666,0.46
IMG_5882_76.jpg,600,450,truck,180,164,316,210,8,0.3,0.36444444444444446,0.5266666666666666,0.4666666666666667
IMG_5882_76.jpg,600,450,car,331,170,358,195,3,0.5516666666666666,0.37777777777777777,0.5966666666666667,0.43333333333333335
IMG_5882_76.jpg,600,450,traffic light,254,99,268,112,10,0.42333333333333334,0.22,0.44666666666666666,0.24888888888888888
IMG_5882_76.jpg,600,450,traffic light,311,100,330,111,10,0.5183333333333333,0.2222222222222222,0.55,0.24666666666666667
IMG_5882_76.jpg,600,450,traffic light,362,101,376,112,10,0.6033333333333334,0.22444444444444445,0.6266666666666667,0.24888888888888888
IMG_5913.JPG,600,450,truck,454,203,600,279,8,0.7566666666666667,0.45111111111111113,1.0,0.62
IMG_5913.JPG,600,450,car,302,220,342,249,3,0.5033333333333333,0.4888888888888889,0.57,0.5533333333333333
IMG_5916.JPG,600,450,car,545,192,600,253,3,0.9083333333333333,0.4266666666666667,1.0,0.5622222222222222
IMG_5916.JPG,600,450,car,275,200,300,216,3,0.4583333333333333,0.4444444444444444,0.5,0.48
