filename,width,height,class,xmin,ymin,xmax,ymax,id,xmin_scaled,ymin_scaled,xmax_scaled,ymax_scaled
s55.jpg,2500,1500,car,1005,932,1339,1212,3,0.402,0.6213333333333333,0.5356,0.808
s55.jpg,2500,1500,truck,1418,802,1714,1115,8,0.5672,0.5346666666666666,0.6856,0.7433333333333333
s32.jpg,800,445,car,410,187,436,211,3,0.5125,0.4202247191011236,0.545,0.47415730337078654
s38.jpg,608,342,car,76,218,209,300,3,0.125,0.6374269005847953,0.34375,0.8771929824561403
s38.jpg,608,342,car,309,228,350,267,3,0.5082236842105263,0.6666666666666666,0.5756578947368421,0.7807017543859649
s38.jpg,608,342,car,388,213,521,299,3,0.6381578947368421,0.6228070175438597,0.8569078947368421,0.8742690058479532
s38.jpg,608,342,car,198,229,250,271,3,0.3256578947368421,0.6695906432748538,0.41118421052631576,0.7923976608187134
s38.jpg,608,342,traffic light,480,28,517,83,10,0.7894736842105263,0.08187134502923976,0.850328947368421,0.24269005847953215
s2.jpg,800,531,car,316,262,509,432,3,0.395,0.4934086629001883,0.63625,0.8135593220338984
s50.jpg,625,352,car,136,113,604,351,3,0.2176,0.3210227272727273,0.9664,0.9971590909090909
s50.jpg,625,352,car,59,139,133,202,3,0.0944,0.39488636363636365,0.2128,0.5738636363636364
05640976-d1ce109099.jpg,1280,720,car,1,284,248,476,3,0.00078125,0.39444444444444443,0.19375,0.6611111111111111
05640976-d1ce109099.jpg,1280,720,car,165,272,352,401,3,0.12890625,0.37777777777777777,0.275,0.5569444444444445
05640976-d1ce109099.jpg,1280,720,car,314,269,420,368,3,0.2453125,0.3736111111111111,0.328125,0.5111111111111111
05640976-d1ce109099.jpg,1280,720,car,475,292,567,368,3,0.37109375,0.40555555555555556,0.44296875,0.5111111111111111
05640976-d1ce109099.jpg,1280,720,car,779,245,1123,458,3,0.60859375,0.3402777777777778,0.87734375,0.6361111111111111
05640976-d1ce109099.jpg,1280,720,car,690,261,853,395,3,0.5390625,0.3625,0.66640625,0.5486111111111112
05640976-d1ce109099.jpg,1280,720,traffic light,449,220,472,258,10,0.35078125,0.3055555555555556,0.36875,0.35833333333333334
076399f2-4c68835b.jpg,1280,720,car,643,334,811,480,3,0.50234375,0.4638888888888889,0.63359375,0.6666666666666666
076399f2-4c68835b.jpg,1280,720,car,477,346,567,425,3,0.37265625,0.48055555555555557,0.44296875,0.5902777777777778
076399f2-4c68835b.jpg,1280,720,person,1190,281,1274,536,1,0.9296875,0.3902777777777778,0.9953125,0.7444444444444445
076399f2-4c68835b.jpg,1280,720,person,911,339,941,425,1,0.71171875,0.4708333333333333,0.73515625,0.5902777777777778
076399f2-4c68835b.jpg,1280,720,person,950,340,979,420,1,0.7421875,0.4722222222222222,0.76484375,0.5833333333333334
076399f2-4c68835b.jpg,1280,720,person,972,328,1007,424,1,0.759375,0.45555555555555555,0.78671875,0.5888888888888889
076399f2-4c68835b.jpg,1280,720,car,556,354,612,405,3,0.434375,0.49166666666666664,0.478125,0.5625
s24.jpg,1280,720,truck,591,235,834,585,8,0.46171875,0.3263888888888889,0.6515625,0.8125
s24.jpg,1280,720,person,820,488,873,595,1,0.640625,0.6777777777777778,0.68203125,0.8263888888888888
s24.jpg,1280,720,truck,169,411,262,454,8,0.13203125,0.5708333333333333,0.2046875,0.6305555555555555
0672c229-561d73fa.jpg,1280,720,car,73,304,335,451,3,0.05703125,0.4222222222222222,0.26171875,0.6263888888888889
0672c229-561d73fa.jpg,1280,720,car,284,302,375,371,3,0.221875,0.41944444444444445,0.29296875,0.5152777777777777
0672c229-561d73fa.jpg,1280,720,car,483,304,540,348,3,0.37734375,0.4222222222222222,0.421875,0.48333333333333334
0672c229-561d73fa.jpg,1280,720,car,408,306,456,343,3,0.31875,0.425,0.35625,0.47638888888888886
0672c229-561d73fa.jpg,1280,720,person,1146,261,1193,398,1,0.8953125,0.3625,0.93203125,0.5527777777777778
0672c229-561d73fa.jpg,1280,720,person,786,282,817,334,1,0.6140625,0.39166666666666666,0.63828125,0.4638888888888889
0672c229-561d73fa.jpg,1280,720,car,882,272,1109,356,3,0.6890625,0.37777777777777777,0.86640625,0.49444444444444446
059ec458-3b7e13f2.jpg,1280,720,car,737,441,973,572,3,0.57578125,0.6125,0.76015625,0.7944444444444444
059ec458-3b7e13f2.jpg,1280,720,car,970,309,1280,560,3,0.7578125,0.42916666666666664,1.0,0.7777777777777778
059ec458-3b7e13f2.jpg,1280,720,car,153,444,237,508,3,0.11953125,0.6166666666666667,0.18515625,0.7055555555555556
059ec458-3b7e13f2.jpg,1280,720,car,656,448,794,539,3,0.5125,0.6222222222222222,0.6203125,0.7486111111111111
059ec458-3b7e13f2.jpg,1280,720,truck,565,395,708,525,8,0.44140625,0.5486111111111112,0.553125,0.7291666666666666
059ec458-3b7e13f2.jpg,1280,720,person,261,451,292,502,1,0.20390625,0.6263888888888889,0.228125,0.6972222222222222
059ec458-3b7e13f2.jpg,1280,720,traffic light,389,426,407,444,10,0.30390625,0.5916666666666667,0.31796875,0.6166666666666667
01eaedc9-a79a93e00.jpg,1280,720,car,463,284,703,507,3,0.36171875,0.39444444444444443,0.54921875,0.7041666666666667
01eaedc9-a79a93e00.jpg,1280,720,person,713,272,848,519,1,0.55703125,0.37777777777777777,0.6625,0.7208333333333333
01eaedc9-a79a93e00.jpg,1280,720,motorcycle,716,383,862,579,4,0.559375,0.5319444444444444,0.6734375,0.8041666666666667
01eaedc9-a79a93e00.jpg,1280,720,traffic light,506,218,535,263,10,0.3953125,0.30277777777777776,0.41796875,0.36527777777777776
01eaedc9-a79a93e00.jpg,1280,720,traffic light,652,237,678,271,10,0.509375,0.32916666666666666,0.5296875,0.3763888888888889
01eaedc9-a79a93e00.jpg,1280,720,car,995,276,1276,543,3,0.77734375,0.38333333333333336,0.996875,0.7541666666666667
